ticker,short_name,sector,ipo_date_moex,notes
SBER,Сбербанк,Финансы,1997-01-01,
GAZP,Газпром,Нефть и газ,2006-02-08,
LKOH,ЛУКОЙЛ,Нефть и газ,1997-01-01,
GMKN,Норильский никель,Горная добыча,2001-01-01,
NVTK,НОВАТЭК,Нефть и газ,2005-12-28,
ROSN,Роснефть,Нефть и газ,2006-07-19,
PLZL,Полюс,Золотодобыча,2006-05-03,
MGNT,Магнит,Ритейл,2006-04-18,
SNGS,Сургутнефтегаз,Нефть и газ,1997-01-01,
CHMF,Северсталь,Металлургия,2005-11-07,
ALRS,АЛРОСА,Горная добыча,2013-10-28,
MOEX,Московская биржа,Финансы,2013-02-15,
MTSS,МТС,Телеком,2003-07-01,
VTBR,ВТБ,Финансы,2007-05-29,
NLMK,НЛМК,Металлургия,2005-12-01,
PHOR,ФосАгро,Химия,2011-07-14,
TATN,Татнефть,Нефть и газ,1997-01-01,
PIKK,ПИК,Строительство,2007-06-06,
IRAO,Интер РАО,Электроэнергетика,2009-01-01,
RUAL,РУСАЛ,Металлургия,2015-01-09,листинг на MOEX
MAGN,ММК,Металлургия,2005-04-18,
AFKS,АФК Система,Холдинг,2005-02-11,
RTKM,Ростелеком,Телеком,2003-01-01,
FEES,ФСК-Россети,Электроэнергетика,2008-07-01,
AFLT,Аэрофлот,Транспорт,2003-01-01,
HYDR,РусГидро,Электроэнергетика,2008-01-01,
CBOM,МКБ,Финансы,2015-07-02,
SNGSP,Сургутнефтегаз-п,Нефть и газ,1997-01-01,привилегированные
MSNG,Мосэнерго,Электроэнергетика,2005-01-01,
MVID,М.Видео,Ритейл,2007-11-01,
